レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091906040501,2026.9.19,土,中山,4中5,1,,未勝利,ダート,1200,,2,良(暫定),曇(暫定),16,10:00,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,マサノブルスカイ,牡,2,5,27.9, , 98,5,55,,*,浜中俊,(栗),藤野健太,エピファネイア,ヴィクトワールピサ,,ロイヤルチャージャー系,9,6,2札6,3,未勝利*,芝,2000,良,,和田,52.0,▲,7,23.5,5,0.8,10,9,9,9,8,38.19,35.8,3,マイネルリコルディ
2,,2,ドナズエクリプス,牡,2,7,55.8, , 94,6,55,,,吉村誠之,(栗),清水久詞,モーリス,ルーラーシップ,,ネイティヴダンサー系,7,18,2小7,2,未勝利*,芝,1800,稍,,吉村,55.0,,7,29.7,9,1.5,3,6,8,9,10,37.25,37.0,9,ニシノフランケン
3,,3,サイモンジェセル,牡,2,6,28.3, , 94,6,55,,,松山弘平,(栗),梅田智之,イスラボニータ,タートルボウル,,ニアークティック系,8,30,3名4,初,新馬,芝,2000,良,,松山,55.0,,10,58.6,5,0.9,5,11,11,10,10,37.54,34.8,3,ゴーイントゥノヴァ
4,,4,ロードフローリス,牡,2,2,3.6, ,105,3,55,,,田口貫太,(栗),小椋研介,ダノンバラード,ロードカナロア,,,8,30,3名4,初,新馬,芝,2000,良,,田口,55.0,,5,7.2,4,0.9,7,10,10,11,10,37.59,34.7,2,ゴーイントゥノヴァ
5,,5,ソウカイファンキー,牡,2,4,15.4, ,108,2,55,,,松若風馬,(栗),杉山佳明,ルーラーシップ,"Empire Maker",ネイティヴダンサー系,ネイティヴダンサー系,8,9,2名6,初,新馬,芝,2000,良,,松若,55.0,,3,11.2,3,0.6,5,2,2,2,2,38.49,34.4,4,ドラゴンバルド
6,,6,アストラルライト,牝,2,3,6.0, ,105,3,55,,,岩田望来,(栗),安田翔伍,コントレイル,Galileo,,ニアークティック系,9,6,4阪2,初,新馬,芝,1800,良,,岩田,55.0,,5,10.2,4,1.1,1,,,7,7,38.15,33.5,5,リスグロワール
7,,7,ケイジャーダ,牝,2,8,69.4, , 86,8,55,,*,幸英明,(美),佐藤吉勝,グローリーヴェイズ,"Highest Honor",,ナスルーラ系,8,30,3新4,2,未勝利*,芝,2000,良,,柴田,55.0,,7,99.3,7,1.0,4,3,3,4,4,37.50,37.1,6,ニシノリリックス
8,,8,サイモンレガシー,牡,2,1,1.5, ,124,1,55,,,川田将雅,(栗),石坂公一,エフフォーリア,オルフェーヴル,,,8,1,2名3,3,未勝利*,芝,2000,良,,川田,55.0,,2,2.7,2,0.0,3,7,8,8,8,37.11,34.2,1,アーデルボーデン
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040503,2026.9.19,土,阪神,4阪5,3,,未勝利,ダート,1400,,2,良(暫定),曇(暫定),16,10:45,牝,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,パストザクラウン,牝,2,3,10.0, , 90,9,55,,*,岩田望来,(栗),高橋義忠,サトノクラウン,ダイワメジャー,,ロイヤルチャージャー系,8,23,3名2,4,未勝利・牝*,芝,1400,良,,今村,53.0,◇,6,28.8,5,0.8,2,,,3,4,35.25,34.4,4,ベニバナ
2,,2,クリコキアナ,牝,2,6,12.6, ,100,3,52,▲,,森田誠也,(栗),谷潔,サリオス,エピファネイア,,,9,5,4阪1,3,未勝利*,ダ,1400,稍,,森田,52.0,▲,7,18.2,4,0.9,6,,,4,4,36.53,38.5,4,ベルヴェール
3,,3,アルテクィーン,牝,2,1,2.2, ,127,1,55,,*,西村淳也,(栗),杉山晴紀,カラヴァッジオ,アドマイヤムーン,,ネイティヴダンサー系,8,30,2札4,6,未勝利*,芝,1200,良,,鮫島,55.0,,2,4.1,2,0.2,7,,,2,2,34.90,35.4,6,ギャルズマインド
4,,4,ツーエムマドンナ,牝,2,11,43.0, , 90,9,51,★,*,河原田菜,(栗),本田優,エスポワールシチー,Singspiel,,ニアークティック系,9,5,4阪1,初,新馬,ダ,1400,稍,,森田,52.0,▲,13,206.5,10,3.9,2,,,12,12,38.33,38.0,2,デザートキャンドル
5,,5,エルピスノヴァ,牝,2,2,4.3, ,105,2,55,,*,松山弘平,(栗),河嶋宏樹,ドレフォン,ダンカーク,,,8,8,2名5,初,新馬,芝,1400,良,,団野,55.0,,3,3.6,4,0.6,4,,,2,2,35.70,35.0,3,コンテスタード
6,,6,クリノライジング,牝,2,10,25.8, , 96,5,55,,,田口貫太,(栗),大橋勇樹,イスラボニータ,ロードカナロア,,,8,29,3名3,初,新馬・牝,芝,1400,良,,田口,55.0,,7,57.9,11,2.2,3,,,6,5,37.13,36.1,12,ビンチャリ
6,,7,ヴァニーユ,牝,2,4,10.4, , 86,11,55,,*,亀田温心,(栗),高柳大輔,ルーラーシップ,キンシャサノキセキ,ネイティヴダンサー系,ロイヤルチャージャー系,8,1,2名3,初,新馬・牝,芝,1400,良,,西村,55.0,,11,79.4,13,4.5,10,,,13,13,36.68,35.6,12,ラムラベイ
7,B,8,トスカ,牝,2,8,18.9, , 94,6,55,,*,鮫島克駿,(栗),杉山佳明,ヘニーヒューズ,スウェプトオーヴァーボード,,ネイティヴダンサー系,8,30,2札4,2,未勝利*,芝,1200,良,,小沢,55.0,,9,72.2,12,1.5,10,,,7,6,35.50,36.1,12,ギャルズマインド
7,,9,マイフレダ,牝,2,7,18.8, , 92,7,55,,,秋山稔樹,(栗),井上智史,ダノンスマッシュ,トーセンホマレボシ,,ロイヤルチャージャー系,8,29,3名3,初,新馬・牝,芝,1400,良,,秋山,55.0,,10,82.6,8,0.7,11,,,10,8,37.35,34.3,6,ビンチャリ
8,,10,シャプシュ,牝,2,9,20.3, , 91,8,54,☆,,田山旺佑,(栗),新谷功一,コントレイル,ロードカナロア,,,9,12,4阪3,14,未勝利*,芝,2000,良,,田山,54.0,☆,6,37.4,7,1.6,6,2,2,2,2,37.37,35.9,7,ショウナンバトレニ
8,,11,スマートライナー,牝,2,5,11.9, ,100,3,55,,,古川吉洋,(栗),角田晃一,グレーターロンドン,"Pioneerof the Nile",,ネイティヴダンサー系,8,15,1札7,初,新馬,芝,1200,良,,古川,55.0,,7,19.1,6,1.4,11,,,8,8,37.20,34.7,5,ジオパークカツキ
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040504,2026.9.19,土,阪神,4阪5,4,阪神ジャンプＳ,ＪＧ３,障害,3140,B,,良(暫定),曇(暫定),14,11:20,,別定,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ドラギニャン,牡,4,8,25.3,>, 98,10,60,,,井上敏樹,(栗),河嶋宏樹,オルフェーヴル,シンボリクリスエス,,ロイヤルチャージャー系,7,5,2小4,8,障害未勝利,障芝,2860,重,,井上,57.0,▲,3,6.0,1,-0.1,4,4,4,3,3,,13.5,,(ガストン)
2,,2,ジューンベロシティ,牡,8,2,3.5, ,119,3,61,,,高田潤,(栗),武英智,ロードカナロア,シンボリクリスエス,,ロイヤルチャージャー系,6,13,3東3,17,東京ジャJG3,障芝,3110,稍,,高田,61.0,,1,1.2,2,0.6,4,3,3,2,2,,13.0,,スズカハービン
3,,3,シホノスペランツァ,牡,7,3,7.3, ,128,1,61,,*,小牧加矢,(栗),寺島良,ブラックタイド,シンボリクリスエス,ロイヤルチャージャー系,ロイヤルチャージャー系,5,16,3京7,8,京都ハイJG2,障芝,3930,良,,高田,60.0,,2,3.7,1,-0.5,1,2,2,1,2,,13.9,,(ゴールデンスロープ)
4,,4,アトラクティーボ,牡,7,9,34.9, ,102,8,60,,,坂口智康,(美),武藤善則,ワンアンドオンリー,ファスリエフ,,ニアークティック系,7,18,2小7,7,ソレイユ,障芝,3390,稍,,坂口,59.0,,5,19.7,2,0.3,6,1,1,1,1,,13.3,,ヴァレッタカズマ
5,,5,ホウオウプロサンゲ,牡,5,1,2.3, ,125,2,60,,,小野寺祐,(栗),矢作芳人,キズナ,Monsun,,その他のエクリプス系,4,18,3中7,3,中山グラJG1,障芝,4260,良,,小野,63.0,,2,4.6,4,4.0,2,4,2,2,2,,13.8,,エコロデュエル
5,B,6,ヴァランセカズマ,牡,9,11,95.6,>,101,9,60,,*,江田勇亮,(美),蛯名利弘,モンテロッソ,デュランダル,,ロイヤルチャージャー系,3,15,1阪8,4,障害未勝利,障ダ,2970,良,B,大江,60.0,,5,10.6,1,-0.0,7,2,2,2,2,,13.8,,(フォーディアライフ)
6,,7,ネイチャーシップ,牡,8,7,18.3, , 97,11,60,,*,伴啓太,(美),畠山吉宏,ゴールドシップ,アルデバラン2,,ネイティヴダンサー系,7,11,2福5,3,障害・オープ,障芝,3380,良,,大江,60.0,,2,3.4,8,2.6,1,7,7,4,7,,13.4,,シャンデルナゴル
6,,8,オオキニ,セ,7,4,7.9, ,113,6,60,,,森一馬,(栗),鈴木孝志,アドマイヤムーン,トウカイテイオー,ネイティヴダンサー系,トゥルビヨン系,6,20,3阪5,73,障害・オープ,障ダ,3110,稍,,森一,60.0,,1,2.2,2,0.2,1,2,2,3,2,,13.6,,ロードリベラシオン
7,,9,アルヴィア,牡,5,10,51.1,>,106,7,60,,,上野翔,(美),和田雄二,シュヴァルグラン,ファルブラヴ,,ニアークティック系,8,23,3名2,11,障害未勝利,障芝,3000,良,,上野,60.0,,1,1.6,1,-0.5,2,4,3,2,2,,13.3,,(シークレットキー)
7,,10,ロードリベラシオン,牡,4,6,16.1, ,117,4,60,,,五十嵐雄,(美),尾形和幸,ダノンバラード,エンパイアメーカー,,ネイティヴダンサー系,6,20,3阪5,6,障害・オープ,障ダ,3110,稍,,五十,60.0,,2,3.9,1,-0.2,4,1,1,1,1,,13.6,,(オオキニ)
8,B,11,トーアモルペウス,セ,6,12,120.1, , 85,12,60,,*,大江原圭,(美),辻哲英,タリスマニック,クロフネ,,ニアークティック系,7,18,2小7,16,ソレイユ,障芝,3390,稍,B,五十,60.0,,7,73.6,6,1.4,5,3,3,3,3,,13.3,,ヴァレッタカズマ
8,B,12,モンツァフレイバー,牡,4,5,16.1, ,114,5,60,,,草野太郎,(美),久保田貴,エピファネイア,キングカメハメハ,,ネイティヴダンサー系,7,25,2新1,8,障害・オープ,障芝,2850,良,B,草野,60.0,,4,9.0,1,-0.8,3,6,6,2,2,,12.8,,(サングラデーション)
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040505,2026.9.19,土,阪神,4阪5,5,,新馬,芝,1200,B,2,良(暫定),曇(暫定),16,12:10,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ユウスカイ,牡,2,9,27.0, ,  0,,54,☆,,田山旺佑,(栗),新谷功一,マテラスカイ,ダンスインザダーク,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,イルドボーテ,牝,2,2,5.1, ,  0,,53,◇,,今村聖奈,(栗),寺島良,ビッグアーサー,アドマイヤコジーン,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,テムスピード,牡,2,8,21.3, ,  0,,55,,,田口貫太,(栗),鈴木孝志,ステルヴィオ,アドマイヤムーン,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,グッデイチャイカ,牡,2,10,81.1, ,  0,,52,▲,,和田陽希,(栗),東田明士,ホットロッドチャーリー,ロードカナロア,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,アリアサイン,牝,2,4,8.3, ,  0,,55,,,松山弘平,(栗),武英智,Constitution,Speightstown,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,セイフェリーチェ,牝,2,6,15.3, ,  0,,53,◇,,永島まな,(栗),高橋康之,モーニン,サクラバクシンオー,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,7,ウォータージェード,牡,2,3,6.0, ,  0,,55,,,松若風馬,(栗),藤野健太,ウォータービルド,ハービンジャー,,ニアークティック系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,インパルスドライブ,牡,2,1,2.2, ,  0,,55,,,北村友一,(栗),高橋亮,Kodiac,"Dark Angel",,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,9,ジャスパーレーブ,牝,2,5,8.9, ,  0,,55,,,松本大輝,(栗),森秀行,Nashville,"Caleb's Posse",ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,シーザットガール,牝,2,7,16.8, ,  0,,55,,,鮫島良太,(栗),畑端省吾,サトノクラウン,ルーラーシップ,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040506,2026.9.19,土,阪神,4阪5,6,,新馬,ダート,1800,,4,良(暫定),曇(暫定),16,12:40,,馬齢,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ベンゲル,牡,2,10,24.6, ,  0,,55,,,池添謙一,(栗),飯田祐史,クリソベリル,サウスヴィグラス,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
2,,2,ベヒル,セ,2,8,14.7, ,  0,,55,,,国分恭介,(栗),加藤公太,チュウワウィザード,パイロ,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
3,,3,ジオフィージブル,牡,2,5,8.7, ,  0,,55,,,鮫島克駿,(栗),池江泰寿,ドレフォン,ダイワメジャー,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
4,,4,エヴァサンライズ,牝,2,9,19.7, ,  0,,55,,,吉村誠之,(栗),石坂公一,コパノリッキー,カジノドライヴ,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
5,,5,マーノマエストロ,牡,2,7,12.3, ,  0,,54,☆,,田山旺佑,(栗),寺島良,ブリックスアンドモルタル,"Quality Road",,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,6,スナークモネ,牡,2,6,10.1, ,  0,,55,,,酒井学,(栗),宮地貴稔,ホッコータルマエ,サクラバクシンオー,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
6,,7,テムレーション,牡,2,4,7.8, ,  0,,55,,,松若風馬,(栗),小椋研介,デクラレーションオブウォー,ヴィクトワールピサ,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,8,キャミソール,牝,2,3,6.7, ,  0,,55,,,吉田隼人,(美),深山雅史,チュウワウィザード,シンボリクリスエス,,ロイヤルチャージャー系,,,,,,,,,,,,,,,,,,,,,,,,,
7,,9,ヤマカツチャーリー,牡,2,11,52.7, ,  0,,52,▲,,和田陽希,(栗),大根田裕,ホットロッドチャーリー,ジャスタウェイ,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,10,アンドレバローズ,牡,2,2,4.2, ,  0,,55,,,岩田望来,(栗),清水久詞,ルヴァンスレーヴ,Tapit,,ナスルーラ系,,,,,,,,,,,,,,,,,,,,,,,,,
8,B,11,ピースインサイト,牡,2,1,3.7, ,  0,,55,,,松山弘平,(栗),池添学,アルアイン,ウォーエンブレム,,ネイティヴダンサー系,,,,,,,,,,,,,,,,,,,,,,,,,
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040507,2026.9.19,土,阪神,4阪5,7,,1勝,芝,2400,B,4,良(暫定),曇(暫定),18,13:10,,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,ボンドマティーニ,牡,3,5,9.3,+,106,3,55,,*,北村友一,(栗),安田翔伍,レイデオロ,ダイワメジャー,,ロイヤルチャージャー系,5,3,2東4,5,プリンシ(L),芝,2000,良,,横山,57.0,,8,18.6,14,1.8,3,,1,1,1,36.17,35.9,14,メイショウハチコウ
2,,2,アロマフェリス,牝,4,4,7.8, ,108,2,56,,*,川田将雅,(栗),辻野泰之,レイデオロ,ディープインパクト,,ロイヤルチャージャー系,8,22,3名1,11,１勝ｸﾗｽ,芝,2200,良,,吉村,56.0,,4,10.7,3,0.2,4,6,6,3,4,36.00,34.3,4,ビップヴォルフ
3,,3,パンチャマハブータ,牝,3,11,24.0, , 97,9,53,,*,池添謙一,(栗),吉田直弘,アドマイヤマーズ,"Oasis Dream",,ニアークティック系,8,15,2名7,12,常滑特別･1勝,芝,2000,良,,松山,53.0,,6,18.1,6,1.4,7,10,9,9,9,36.47,34.5,5,チェルヴァーラ
4,,4,ベルシュヴァル,牝,3,7,15.2, ,103,6,53,,*,松山弘平,(栗),中村直也,ベンバトル,フレンチデピュティ,,ニアークティック系,8,23,3名2,9,１勝ｸﾗｽ・牝,芝,2000,良,,渡辺,53.0,,4,9.6,7,0.4,8,5,5,7,5,36.47,33.9,5,シルバーリム
5,,5,ラッキーシグネチャ,牝,3,9,21.7,>, 88,11,51,◇,*,古川奈穂,(栗),矢作芳人,キズナ,Reset,,ロイヤルチャージャー系,9,6,2札6,4,未勝利,芝,2000,良,,小沢,55.0,,10,37.5,5,0.2,4,2,2,2,2,36.64,37.7,12,レッドレグルス
5,B,6,フィエールシャンテ,牝,3,1,4.3,>,102,7,53,,*,Ｍ．デム,(栗),小椋研介,フィエールマン,オルフェーヴル,,,8,22,2札1,6,未勝利,芝,2600,良,B,ナレ,55.0,,6,22.2,1,-0.4,3,6,4,3,6,37.38,36.8,1,(ギオンバヤシ)
6,,7,ストレートブラック,牝,4,3,5.1, ,104,4,56,,*,松若風馬,(美),奥平雅士,トーセンラー,ヴィクトワールピサ,,ロイヤルチャージャー系,6,28,2福2,5,１勝ｸﾗｽ,芝,2600,良,,松岡,56.0,,6,12.9,6,0.7,8,4,5,4,4,37.32,34.9,8,ゲンジ
6,B,8,タガノアルトゥーラ,牡,3,8,19.8, ,110,1,55,,,吉村誠之,(栗),長谷川浩,シルバーステート,クロフネ,,ニアークティック系,7,11,2小5,3,英彦山特･1勝,芝,2600,良,B,吉村,55.0,,2,3.0,8,1.8,4,9,6,2,4,37.17,37.6,11,カレンラップスター
7,,9,ゴールドアクセス,牡,3,2,4.5, ,104,4,55,,*,武豊,(栗),寺島良,ゴールドアクター,キングヘイロー,,ニアークティック系,7,18,2小7,6,１勝ｸﾗｽ,芝,2000,良,,今村,53.0,◇,6,19.3,3,0.4,7,8,8,9,7,36.81,35.2,1,フウセン
7,,10,ロングホリデー,牡,3,6,10.8, , 95,10,55,,*,斎藤新,(栗),茶木太樹,キタサンブラック,コマンズ,,ニアークティック系,6,14,3阪4,7,１勝ｸﾗｽ,芝,2000,良,,武豊,55.0,,5,12.1,10,1.6,6,7,7,7,9,37.41,34.7,10,ナリタエスペランサ
8,,11,サトノビダーヤ,牡,3,10,21.7, , 99,8,55,,,幸英明,(栗),高橋康之,サトノジェネシス,"Grand Lodge",,ニアークティック系,8,22,3名1,9,１勝ｸﾗｽ,芝,2200,良,,幸英,55.0,,6,41.2,4,0.3,5,6,6,7,7,36.11,34.1,2,ビップヴォルフ
8,,12,ディアーモルタル,牝,3,12,34.5,>, 88,11,52,☆,,田山旺佑,(栗),宮本博,ブリックスアンドモルタル,フジキセキ,,ロイヤルチャージャー系,9,6,4阪2,4,未勝利,芝,2000,良,,田山,54.0,☆,6,17.4,6,0.2,7,15,15,15,14,36.99,34.5,1,ティタノマキア
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040508,2026.9.19,土,阪神,4阪5,8,野路菊Ｓ,ｵｰﾌﾟﾝ,芝,1600,B,2,良(暫定),曇(暫定),18,13:40,,別定,２歳
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シティオブドリーム,牝,2,4,11.4,>,104,2,55,,,横山典弘,(栗),昆貢,コントレイル,"Street Cry",,ネイティヴダンサー系,8,16,1札8,初,新馬,芝,1800,良,,横山,55.0,,3,5.6,1,-0.3,5,1,1,1,1,37.95,35.8,2,(レジームチェンジ)
2,,2,ジーティーサクラ,牝,2,1,1.1,>,103,3,55,,,北村友一,(栗),吉岡辰弥,キタサンブラック,"Mizzen Mast",,ナスルーラ系,6,6,3阪1,初,新馬,芝,1600,良,,北村,55.0,,2,2.7,1,-0.3,1,,,3,3,38.34,32.4,1,(ロジクラウン)
3,,3,テングカゼ,牡,2,6,102.0, , 98,5,55,,,的場勇人,(美),的場均,カデナ,Tiznow,,マンノウォー系,9,5,2札5,5,札幌２歳G3,芝,1800,稍,,的場,55.0,,8,186.4,8,3.0,5,5,7,7,8,37.50,38.3,8,ショウナンガレオン
4,,4,ベルメサージュ,牝,2,5,68.9,>, 64,6,55,,*,幸英明,(栗),大根田裕,マジェスティックウォリアー,ハーツクライ,,ロイヤルチャージャー系,9,12,4阪3,連,未勝利*,ダ,1800,稍,,和田,52.0,▲,7,64.1,7,3.8,4,6,7,7,7,40.75,39.9,7,ホットロッドハート
5,,5,メイショウセイクウ,牡,2,3,10.5,>,103,3,55,,,松若風馬,(栗),荒川義之,デクラレーションオブウォー,ブラックタイド,,ロイヤルチャージャー系,8,30,3名4,初,新馬,芝,1600,良,,松若,55.0,,5,15.7,1,-0.0,4,,9,9,9,36.72,33.4,1,(ラガッタレアーレ)
6,,6,ブラッドバローズ,牡,2,2,9.4,>,107,1,55,,*,松山弘平,(栗),杉山晴紀,サートゥルナーリア,ディープインパクト,,ロイヤルチャージャー系,9,12,4阪3,初,新馬,芝,1600,良,,松若,55.0,,2,5.2,1,-0.2,3,,,1,1,37.14,34.0,2,(ルーメンルーナエ)
レースID(新),日付S,曜日,場所,開催,R,レース名,クラス名,芝・ダート,距離,コース区分,コーナー回数,馬場状態(暫定),天候(暫定),フルゲート頭数,発走時刻,性別限定,重量種別,年齢限定
2026091909040509,2026.9.19,土,阪神,4阪5,9,,1勝,ダート,1800,,4,良(暫定),曇(暫定),16,14:10,牝,定量,３上
枠番,B,番,馬名S,性別,年齢,人気, 単勝,ZI印,ZI,ZI順,斤量,減M,替,騎手,所属,調教師,父,母父,父タイプ,母父タイプ,月,日,開催,前走間隔,ﾚｰｽ名･1走前,芝・ダ,距離,馬場状態,B,騎手,斤量,減,人気,単勝オッズ,着順,着差,マイニング順位,通過順1,2,3,4,Ave-3F,上り3F,上3F順位,1(2)着馬
1,,1,シゲルオトヒメ,牝,7,14,32.7, , 90,12,56,,,酒井学,(栗),谷潔,ベルシャザール,マヤノトップガン,,ロイヤルチャージャー系,5,23,3京9,3,１勝ｸﾗｽ,ダ,1800,稍,,酒井,56.0,,15,133.0,12,2.5,15,15,15,13,14,38.80,37.6,8,ビルンバウム
2,,2,レザーアンドレース,牝,3,7,16.3, , 97,11,53,,,松若風馬,(栗),平田修,マインドユアビスケッツ,ディープインパクト,,ロイヤルチャージャー系,6,20,3阪5,4,１勝ｸﾗｽ,ダ,1800,稍,,松若,53.0,,14,42.0,8,2.7,2,15,15,15,12,37.90,38.1,8,ショウナンバンライ
3,,3,リーチグローリー,牝,3,2,5.9, ,106,5,53,,*,松山弘平,(栗),浜田多実,リーチザクラウン,ルーラーシップ,ロイヤルチャージャー系,ネイティヴダンサー系,3,8,1阪6,3,１勝ｸﾗｽ・牝*,ダ,1800,良,,吉村,55.0,,12,70.1,4,0.5,7,14,14,15,13,38.30,38.3,1,ペンダント
3,B,4,ミティリーニ,牝,3,6,13.7, ,111,2,53,,,西村淳也,(栗),高野友和,Tapit,"Midnight Lute",ナスルーラ系,ネイティヴダンサー系,9,6,4阪2,12,１勝ｸﾗｽ・牝,ダ,1800,良,B,西村,53.0,,6,16.4,3,0.4,8,8,8,8,6,38.40,37.9,1,マクノス
4,,5,ドリームキャリー,牝,3,4,8.9,>,108,3,52,☆,,田山旺佑,(栗),新谷功一,シニスターミニスター,ジャングルポケット,ナスルーラ系,ナスルーラ系,7,7,川崎,4,ジュラ,ダ,1600,重,,田山,52.0,△,1,,4,0.4,,3,3,3,4,,----,,ユーヴェリア
4,,6,レザンクレール,牝,5,10,24.5, , 89,13,56,,*,小沢大仁,(栗),西村真幸,キズナ,Aldebaran,,ネイティヴダンサー系,7,12,2小6,10,１勝ｸﾗｽ・牝,芝,1800,良,,高倉,56.0,,8,139.5,8,0.9,8,2,2,2,2,36.70,35.7,9,ミリタリータトゥー
5,B,7,フィデリス,牝,3,12,29.6,>, 84,14,53,,*,亀田温心,(栗),坂口智康,オルフェーヴル,"Candy Ride",,ネイティヴダンサー系,9,3,園田,5,妙見山,ダ,1870,稍,,西村,55.0,,1,,1,-0.2,,4,3,1,1,,----,,(タントレーベル)
